EntrezID	iPrEC_basal_01	iPrEC_basal_02	iPrEC_basal_03	iPrEC_4day_01	iPrEC_4day_02	iPrEC_4day_03	iPrEC_8day_01	iPrEC_8day_02	iPrEC_8day_03	iPrEC_11day_01	iPrEC_11day_02	iPrEC_11day_03	iPrEC_14Tday_01	iPrEC_14Tday_02	iPrEC_14Tday_03	iPrEC_17Tday_01	iPrEC_17Tday_02	iPrEC_17Tday_03	EMP_basal_01	EMP_basal_02	EMP_basal_03	EMP_4day_01	EMP_4day_02	EMP_4day_03	EMP_8day_01	EMP_8day_02	EMP_8day_03	EMP_11day_01	EMP_11day_02	EMP_11day_03	EMP_14day_01	EMP_14day_02	EMP_14day_03	EMP_17day_01	EMP_17day_02	EMP_17day_03
57449	99.99737375	73.90649064	75.37720219	107.7859968	72.98319841	56.00248943	135.079834	129.3931133	87.79591863	116.1462033	112.8871561	116.7311048	189.8493419	111.856193	140.9954436	382.8925509	234.4298324	111.6436708	54.81100698	46.88722468	56.69782568	62.71691499	42.60936496	42.3354803	65.34136199	64.00134201	57.08914437	63.27377725	50.10643852	65.01293601	58.33025354	49.38470664	57.33147545	71.27682	52.09325726	54.59222519
9903	37.08953119	65.10952373	66.71388281	65.21696647	91.29774632	29.6361	40.90255234	71.80249576	74.88118751	65.78093546	67.02674894	148.725801	123.8881937	245.4207732	104.2655381	73.48194654	108.9221602	265.8936501	40.45227244	69.79444212	67.58593273	57.49050541	68.65165077	56.04979082	58.52161234	48.04421174	70.07151539	97.47222258	117.1115191	64.54296298	76.11570552	63.1923811	65.93533324	118.2119336	153.1510476	166.4456288
11315	156.5755658	205.8011508	196.347494	118.9963465	181.3855225	316.9532197	114.1215014	218.5192384	159.0391537	117.3705524	205.7067696	143.7721595	89.83058406	137.9283526	109.3434053	89.62012209	157.8015776	107.7203113	172.5963624	215.1890123	197.5129173	159.8916699	193.5151104	374.10254	181.2188175	225.8769235	315.2385989	122.688586	172.2613507	242.4277554	131.5068378	177.5511043	171.1671323	128.4327606	168.0124874	167.3352799
54206	1909.333531	301.6701371	352.9828378	806.539209	304.032495	207.6614049	314.1721665	209.5090934	215.9731092	313.1550963	205.7067696	153.6794425	370.7330909	299.387934	658.7686274	161.7094342	182.2811554	297.0740341	590.8947255	376.0443766	361.6312137	363.843188	408.8871393	230.9370637	318.0801181	244.8872231	297.1797879	342.5832587	487.4406738	323.1847879	500.9317768	574.521745	607.8129151	249.6033546	556.9911185	464.5596171
2023	758.2255058	1183.76056	1019.805486	733.9749188	1269.093672	2048.856294	463.3819731	1741.930405	850.7958082	421.7325964	1117.363086	756.508473	567.917918	706.6549519	571.6549959	632.8294727	1277.802062	514.1665975	1055.476319	1125.167182	1057.009465	863.5730252	1192.597178	2618.181133	976.33168	1231.118524	2071.853263	820.1638824	951.3673458	1508.143458	802.1540292	1006.791037	1007.230467	754.5929001	843.191161	932.3543289
22883	416.6464701	415.492117	424.7555932	466.1384572	437.7341945	471.951414	437.3530762	504.3359001	451.4698965	395.0195261	426.3340752	410.5111843	347.5040546	286.8489928	393.9296468	426.0642185	406.3450428	288.0571902	438.123621	394.0293821	474.1637834	663.3893837	622.9221758	448.0405619	640.6484474	611.9588265	497.9904372	591.7528653	601.2117636	534.4376655	596.4155381	601.134924	611.701197	643.8448599	453.0392583	472.404722
56998	57.68865704	81.44674798	79.80371574	62.26288785	76.06312238	115.2746894	126.0880332	120.9402969	109.259838	150.0940634	117.3980158	90.33110956	66.3686752	64.7384979	104.0962759	74.2192236	82.76808367	58.57507022	69.31551548	90.99781694	90.95552832	69.34108527	79.58010999	83.0610198	78.86428436	103.9805782	91.12625814	70.45944281	92.87703245	93.75961976	84.93306943	90.13961675	103.4944817	84.59079204	67.73687805	70.76769933
23095	157.6860308	78.69395562	83.66110612	150.203536	84.86290516	66.29859929	166.4497254	81.41641337	96.95143224	168.2923425	90.44852057	110.9615694	168.3086316	111.856193	114.7597969	186.7768541	114.5038229	143.6500253	108.2371614	84.30865702	88.89741053	162.8087357	84.23051818	75.36908042	176.4391639	103.0588667	82.05524249	165.2037738	88.61962264	94.07293511	189.0081084	94.31532475	97.95161174	196.481951	90.3419101	81.36263488
5226	80.00900365	124.5937761	128.2424212	95.89393676	115.8271408	119.3096514	78.01908331	91.54121549	94.0410703	71.2905062	118.5546465	93.59468513	77.72121174	73.68699334	78.36841585	51.36363487	75.27270808	58.23091587	124.4180704	131.1958817	133.0473568	114.434061	143.6976128	224.9146925	123.1635128	150.066153	181.2538723	126.8802242	129.4252582	158.1459251	121.1068701	134.2350933	125.0868555	117.5395107	132.8925587	138.7046907
23435	147.525276	151.8823265	133.7439452	131.6458626	88.82280741	161.1897739	130.6177374	97.11450106	124.4786056	79.08181835	124.6269577	80.83177352	171.3941928	108.1000345	85.13890534	126.6478142	131.1690729	80.53211769	216.8387577	190.0100047	178.5251209	221.5146852	161.2529037	219.250086	143.9142041	166.8873878	173.1815006	163.2077556	138.922557	140.3652787	135.1995799	113.8019621	130.9606431	131.6603902	151.6649036	140.3222381
2475	82.34098016	60.74096194	57.7976198	77.6392458	58.84854732	74.02068168	86.87566902	59.07682704	51.53765942	90.21226428	55.74959963	59.32714163	111.4877307	72.80319132	60.93440541	101.5803943	75.67139827	68.48671547	86.88127703	67.45954667	67.91788721	110.4838677	69.93051302	94.50948771	109.9903212	79.55522351	90.62693617	87.75826729	68.51154862	79.97374417	101.8895385	68.75999177	74.78737923	112.2273704	63.59131854	66.07681183
26232	68.07150484	191.9175024	174.4678698	77.94222822	104.7174151	98.78699999	58.21007862	103.4308914	125.4487263	59.54788574	108.6654541	71.97349697	42.8485482	59.15949765	78.87620256	38.9118446	58.44798201	42.8816319	26.7495207	39.88253835	38.63950181	27.347492	58.36262267	21.46587733	16.49563376	48.56267445	30.95796167	38.32354963	41.39512307	35.48296387	36.17380064	42.4251933	43.68112415	30.25902736	33.86843903	41.97535537
57085	46.80609998	80.96800148	62.41384108	37.26683798	64.29341292	70.33356126	43.20120817	111.094159	95.92067906	36.84177604	107.5088234	82.17217063	20.1434751	58.55188376	73.79833544	45.95693647	83.48572601	55.4088502	47.59519622	68.27991534	66.39089659	47.8884971	65.45449515	74.65355117	45.9313053	62.27313296	65.74405838	25.68210097	66.67758747	71.35757193	38.66074944	63.80481828	61.05429853	38.59707046	36.84072698	38.49762843
5351	80.00900365	108.4360818	97.63624176	73.39749188	105.3773988	140.6671225	100.5999965	204.2144721	152.4908393	73.51659538	144.5788372	124.0741498	69.74532709	61.03757694	110.3589787	82.57503023	132.9233097	58.71273196	145.1908589	149.3070977	170.4254315	191.3108996	181.1915287	229.5656326	244.4035065	232.386511	266.8043686	105.7224312	177.7632342	204.2032821	136.1039249	176.381906	172.4080734	160.3056027	83.92802558	99.80267539
9927	312.7624688	258.4632656	254.7142369	319.1919822	275.1582077	253.3677845	300.7182691	222.3276502	237.1338659	268.3550514	241.6201528	227.5178398	284.0462862	218.6305245	260.0432172	243.2195087	197.5111207	228.6561495	226.7513866	186.7916353	209.928015	276.148897	220.1968274	239.4041597	262.647794	226.5106002	206.8025128	242.1835428	213.1979835	204.3599398	264.5962793	216.2459984	219.9774794	261.0345427	201.0205272	216.2660891
55187	148.3581247	94.49259005	100.228914	153.9908163	80.6280097	54.88939647	193.0870901	78.76910273	97.67902273	168.5149514	104.3280889	84.61985231	113.4671473	109.1495494	123.0536465	213.9741855	110.9953492	143.6500253	83.96579793	65.31396708	72.83081356	161.0463418	83.35856664	42.99138211	111.738975	69.99246674	52.51202638	151.0320445	85.14819618	59.05994428	162.4806546	74.10489802	76.93834368	148.2692341	90.57656442	85.7300129
9249	55.52325028	41.29188546	43.44306871	59.83902847	112.4722236	25.3924331	29.61209574	52.48177245	51.23449671	20.6469772	46.38089098	80.71521725	9.431338054	116.7171041	52.86623877	21.62679363	58.76693417	98.9787908	36.29771473	35.97001086	40.8967923	42.3582265	105.7967861	22.24103402	43.36661313	65.61433713	37.86524881	93.8793898	117.5045107	43.94247843	65.64037575	106.7310965	105.2317991	69.99921663	219.5582179	203.4065872
10630	41.19825171	60.86064856	62.47707698	36.50938193	23.59441757	63.02888873	24.67674645	48.95202493	61.8451913	13.1339262	41.63870512	18.76555953	3.842396985	5.468524993	17.32116895	11.79643289	25.19722008	4.818160887	91.69181753	48.02311976	37.17890209	91.5229399	55.45611756	88.72562632	85.85889938	65.21108835	78.22710744	24.15182034	38.44768551	72.29751799	38.88683569	40.08679682	39.87557167	34.22632206	14.78322165	12.77862456
7799	68.01598159	32.01617206	39.39597061	68.3225363	21.50446916	33.04494718	62.26653009	25.21911721	34.439283	56.70962203	31.63384958	20.04767851	87.03611352	28.66832799	38.93031457	42.43439053	31.0978349	35.92971405	58.01803399	35.0865369	36.58138402	70.13112393	36.68009453	29.69446365	64.00072744	43.09001244	28.2949112	52.42874498	30.71884924	33.99471594	59.23459855	31.12294364	35.98728979	46.19544844	27.14168208	25.79988124
