iPrEC_basal_01	iPrEC_basal_02	iPrEC_basal_03	iPrEC_4day_01	iPrEC_4day_02	iPrEC_4day_03	iPrEC_8day_01	iPrEC_8day_02	iPrEC_8day_03	iPrEC_11day_01	iPrEC_11day_02	iPrEC_11day_03	iPrEC_14Tday_01	iPrEC_14Tday_02	iPrEC_14Tday_03	iPrEC_17Tday_01	iPrEC_17Tday_02	iPrEC_17Tday_03
26232	68.0715048405447	191.917502403457	174.467869835207	77.9422282206009	104.717415050609	98.7869999925562	58.210078618762	103.430891375039	125.448726274032	59.5478857384038	108.665454055043	71.9734969690125	42.8485481968737	59.1594976513514	78.8762025588275	38.9118446016574	58.4479820136502	42.8816318973264
57085	46.8060999841592	80.9680014817204	62.4138410755163	37.2668379830278	64.2934129171021	70.3335612623058	43.2012081735063	111.094159034168	95.9206790553499	36.8417760362835	107.508823357278	82.1721706285891	20.1434751034216	58.5518837632423	73.7983354413064	45.9569364663785	83.4857260140406	55.4088502044105
5351	80.009003650265	108.436081807005	97.636241763523	73.3974918812073	105.377398758912	140.667122524612	100.59999649793	204.214472104196	152.49083933262	73.5165953835808	144.578837220653	124.07414983565	69.7453270921939	61.0375769418705	110.358978687458	82.5750302283593	132.923309709079	58.7127319557294
9927	312.762468814672	258.463265631597	254.7142369323	319.191982236747	275.158207719642	253.36778448795	300.71826910134	222.327650207593	237.13386585681	268.355051430452	241.620152763156	227.517839811356	284.0462862127	218.630524466899	260.04321716283	243.21950867857	197.5111206655	228.656149539195
55187	148.358124742199	94.4925900514682	100.228913986518	153.990816299788	80.6280096975806	54.8893964747372	193.087090052479	78.7691027265674	97.679022729563	168.514951416717	104.328088938424	84.6198523068875	113.467147331123	109.149549354874	123.053646481261	213.974185472693	110.995349199183	143.650025312552
9249	55.5232502777689	41.2918854563097	43.4430687121375	59.8390284686829	112.47222362316	25.3924330966782	29.6120957433424	52.4817724534323	51.2344967141407	20.6469772046241	46.3808909803856	80.7152172486496	9.43133805420318	116.717104143142	52.8662387679695	21.626793631237	58.7669341665214	98.9787907999283
10630	41.1982517061046	60.8606485638652	62.4770769833942	36.5093819264622	23.5944175718022	63.028888727645	24.6767464527853	48.9520249255908	61.8451912999095	13.1339262002461	41.6387051195482	18.7655595336211	3.84239698504574	5.46852499298206	17.3211689453219	11.7964328897656	25.197220076826	4.81816088734004
7799	68.015981590267	32.0161720567039	39.39597060795	68.3225363022177	21.5044691621787	33.0449471806086	62.2665300904528	25.2191172054989	34.439282998381	56.7096220256388	31.633849583879	20.0476785079678	87.0361135248997	28.668327993512	38.9303145676616	42.434390534018	31.0978349049435	35.9297140455929
55092	19.4886608474969	28.9043198194168	32.1870771098661	29.2378037834324	48.6187998449258	21.1487661955895	19.1329294414746	26.5195505052299	29.0429868947614	25.7113301038715	30.0723981418959	62.7655516077947	25.9070705809902	110.088589000134	48.5782620909517	23.9205444709136	41.7029939879114	96.7073720958965
23207	84.2287706713755	108.974671617304	99.2803753683492	110.664329864235	137.716600465718	62.1940690093981	95.1913945356759	120.197192132286	97.3758600271124	129.113172815978	110.978715450574	173.435730348001	124.703247605575	235.754188586338	164.297211624682	144.588222572474	157.482625480163	220.671768640174
