EntrezID,iPrEC_basal_average,iPrEC_4day_average,iPrEc_8day_average,iPrEC_11day_average,iPrEC_14day_average,iPrEC_17day_average,EMP_basal_average,EMP_4day_average,EMP_8day_average,EMP_11day_average,EMP_14day_average,EMP_17day_average
100505610,0,0,0.020210847,0.019277178,0.018806915,0,0.021035094,0.039634102,0,0,0.025120695,0.022414094
253832,9.286806269,7.541174561,9.170480273,7.13642802,6.198296684,9.440124139,6.129631092,9.602395181,11.90550903,14.66644981,10.95141788,13.62810263
221154,38.68438848,45.90135892,48.45820348,35.75422728,26.54744809,36.70583047,57.21636613,58.47698133,52.50401872,35.87975687,36.52277299,26.17156057
2254,0.01850775,0.144958932,0.147418772,0.154664027,0.150864836,0.288010207,0.134922104,0.059891504,0.237974726,0.184941997,0.055152935,0.330628563
100506622,0,0,0,0,0,0,0,0,0,0,0,0
646201,0.021078636,0.05049707,0,0,0.019406045,0.049522969,0.021035094,0,0,0,0,0
6445,0,0,0.045071683,0.169433728,0.038212961,0.026579346,0,0,0.066599081,0,0.018558702,0.022414094
26278,30.46677788,25.87795237,12.98439742,11.23101511,20.4864109,16.62791906,59.58728585,84.32113247,45.13174769,38.94644108,40.83986719,31.33439753
100506680,0,0,0,0.019426045,0.019406045,0,0,0,0,0,0,0.022414094
100506697,0.019947771,0.023189437,0.015481349,0,0.018806915,0.103408873,0,0.039751625,0.047169595,0.02217798,0.055152935,0.022414094
55504,1.004667039,1.367964617,1.912247436,1.192407244,0.780335797,2.457664109,5.389292879,5.431166339,6.684331647,3.677613127,3.023422006,2.05883181
100506717,0,0,0,0,0,0.045887247,0,0,0,0,0,0
4285,17.12093788,23.02789124,17.17965177,16.32213463,14.4313716,13.99395801,18.32689088,24.69297997,21.0974116,19.86185548,17.73433282,15.88938788
542767,0.338697191,0.46401613,0.431504465,0.687922901,0.495190995,0.343350199,0.377235137,0.377023801,0.488626641,0.196391786,0.117391034,0.103291465
387911,0,0.025248535,0,0.038703223,0,0,0.042070188,0,0,0,0,0
